Index;Price;Host Since;Host Response Rate;Host Verifications;Neighbourhood Group Cleansed;Longitude;Room Type;Accommodates;Bathrooms;Bedrooms;Amenities;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 30;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Calculated host listings count;Reviews per Month;Features
14543;15.0;5;96.04274307186472;2;44.16263736263736;-3.6956725533924297;32.38965911831498;1;1.0;1.0;11;0.0;0.0;1;0;0;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;50.39969226382209;4.0;2.1509986225895266;2
2542;14.0;4;96.04274307186472;4;68.8821138211382;-3.673956062042477;32.38965911831498;1;1.0;1.0;17;100.0;0.0;1;0;0;3;73.0;8.0;8.0;8.0;7.0;9.0;8.0;50.39969226382209;1.0;0.3;4
991;45.0;5;93.0;3;64.56904097353802;-3.7028632048107446;80.1381671466533;3;1.0;0.0;21;100.0;25.0;2;15;9;27;96.0;10.0;9.0;10.0;10.0;10.0;10.0;58.728428701180746;2.0;3.13;2
3505;65.0;9;100.0;4;64.56904097353802;-3.7109764948097417;80.1381671466533;4;1.0;1.0;21;100.0;35.0;2;15;1;127;95.0;9.0;10.0;9.0;10.0;10.0;9.0;65.22549019607843;2.0;1.86;5
11359;26.0;7;100.0;4;42.264044943820224;-3.6694933599351693;25.857142857142858;2;1.0;1.0;27;0.0;0.0;1;14;30;2;20.0;2.0;2.0;8.0;4.0;6.0;2.0;50.39969226382209;6.0;0.18;4
6790;20.0;5;100.0;4;35.191964285714285;-3.730820949172963;32.38965911831498;2;1.0;1.0;12;0.0;0.0;1;0;17;11;96.0;10.0;10.0;10.0;10.0;10.0;10.0;50.39969226382209;1.0;1.69;3
2579;40.0;5;96.04274307186472;3;47.468992248062015;-3.6968368251903576;32.38965911831498;1;1.0;1.0;18;0.0;0.0;1;0;0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;50.39969226382209;1.0;0.08;3
11598;22.0;5;78.0;4;60.31679389312977;-3.693741759057105;32.38965911831498;2;1.0;1.0;9;0.0;0.0;3;20;7;59;85.0;9.0;9.0;9.0;9.0;9.0;9.0;65.22549019607843;5.0;2.58;3
1525;85.0;5;100.0;4;64.56904097353802;-3.7046449355666966;80.1381671466533;4;1.0;1.0;15;300.0;30.0;2;15;5;30;96.0;10.0;10.0;10.0;10.0;10.0;10.0;65.22549019607843;2.0;2.3;4
1751;35.0;4;50.0;6;35.191964285714285;-3.747716018594716;80.1381671466533;4;1.0;1.0;12;90.0;16.0;1;35;24;12;80.0;10.0;7.0;9.0;9.0;8.0;8.0;50.39969226382209;1.0;1.51;4
