;Host Since;Host Response Rate;Host Verifications;Neighbourhood Group Cleansed;Longitude;Room Type;Accommodates;Bathrooms;Bedrooms;Amenities;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 30;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Calculated host listings count;Reviews per Month;Features
14543;2015-10-14;;phone,reviews;Arganzuela;-3.6956725533924297;Private room;1;1.0;1.0;Wireless Internet,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,24-hour check-in,Hangers,Laptop friendly workspace;15.0;;;1;0;0;0;;;;;;;;flexible;4.0;;Is Location Exact,Requires License
2542;2016-02-23;;email,phone,facebook,reviews;Retiro;-3.673956062042477;Private room;1;1.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Heating,Suitable for events,Washer,Smoke detector,Fire extinguisher,Essentials,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;14.0;100.0;;1;0;0;3;73.0;8.0;8.0;8.0;7.0;9.0;8.0;flexible;1.0;0.3;Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable
991;2015-11-04;93.0;email,phone,reviews;Centro;-3.7028632048107446;Entire home/apt;3;1.0;0.0;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Elevator in building,Heating,Family/kid friendly,Suitable for events,Washer,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;45.0;100.0;25.0;2;15;9;27;96.0;10.0;9.0;10.0;10.0;10.0;10.0;moderate;2.0;3.13;Host Has Profile Pic,Requires License
3505;2011-07-22;100.0;email,phone,reviews,jumio;Centro;-3.7109764948097417;Entire home/apt;4;1.0;1.0;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;65.0;100.0;35.0;2;15;1;127;95.0;9.0;10.0;9.0;10.0;10.0;9.0;strict;2.0;1.86;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable
11359;2013-09-16;100.0;email,phone,reviews,manual_offline;Ciudad Lineal;-3.669493359935169;Shared room;2;1.0;1.0;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Doorman,Gym,Elevator in building,Hot tub,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,First aid kit,Fire extinguisher,Shampoo,24-hour check-in,Hangers,Iron,Laptop friendly workspace;26.0;;;1;14;30;2;20.0;2.0;2.0;8.0;4.0;6.0;2.0;flexible;6.0;0.18;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
6790;2015-12-28;100.0;email,phone,facebook,reviews;Carabanchel;-3.730820949172963;Private room;2;1.0;1.0;Internet,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron,Laptop friendly workspace;20.0;;;1;0;17;11;96.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.0;1.69;Host Is Superhost,Host Has Profile Pic,Requires License
2579;2015-12-04;;email,phone,reviews;Tetuán;-3.6968368251903576;Private room;1;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;40.0;;;1;0;0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.0;0.08;Host Has Profile Pic,Is Location Exact,Requires License
11598;2015-03-02;78.0;email,phone,reviews,jumio;Chamberí;-3.6937417590571053;Private room;2;1.0;1.0;Wireless Internet,Kitchen,Pets live on this property,Dog(s),Elevator in building,Heating,Smoke detector,Fire extinguisher,Essentials;22.0;;;3;20;7;59;85.0;9.0;9.0;9.0;9.0;9.0;9.0;strict;5.0;2.58;Host Has Profile Pic,Host Identity Verified,Requires License
1525;2015-04-20;100.0;email,phone,reviews,jumio;Centro;-3.704644935566696;Entire home/apt;4;1.0;1.0;Internet,Wireless Internet,Wheelchair accessible,Kitchen,Smoking allowed,Elevator in building,Indoor fireplace,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace;85.0;300.0;30.0;2;15;5;30;96.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;2.0;2.3;Host Has Profile Pic,Host Identity Verified,Requires License,Instant Bookable
1751;2016-05-15;50.0;email,phone,facebook,reviews,jumio,government_id;Carabanchel;-3.747716018594716;Entire home/apt;4;1.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Heating,Washer,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;35.0;90.0;16.0;1;35;24;12;80.0;10.0;7.0;9.0;9.0;8.0;8.0;flexible;1.0;1.51;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
